"gml_id","Fitted_Values"
"osgb4000000030406332",0.138375731336977
"osgb4000000030406332",0.102937271308071
"osgb4000000031245538",0.0877432477221284
"osgb4000000031245545",0.181278173494663
"osgb4000000031245545",0.180048773293105
"osgb5000005153184422",0.154599311533054
"osgb5000005153184426",0.173533557775905
"osgb5000005153184418",0.132830980341012
"osgb5000005153184418",0.101175729939901
"osgb4000000030082280",0.182833334473116
"osgb4000000030340572",0.400059528997194
"osgb4000000030340572",8.49953210143189
"osgb5000005259895938",0.0873778837748362
"osgb4000000030146151",0.176645882853956
"osgb4000000030146151",0.212272946801267
"osgb4000000030458402",0.277447222085016
"osgb4000000030236254",0.327722651354134
"osgb4000000030236255",0.294598054619605
"osgb4000000031116645",0.293237925580435
"osgb4000000031116645",0.352345547327171
"osgb4000000030236258",0.22299315327716
"osgb5000005155157109",0.306758776250032
"osgb4000000030235908",0.505464514541412
"osgb4000000030235908",1.57251068989166
"osgb4000000030146150",0.189892828396638
"osgb4000000030146131",0.340012655057597
"osgb4000000030236213",0.260121619977037
"osgb4000000030340985",0.30895909566716
"osgb4000000030417177",0.275081901712402
"osgb5000005152006347",0.759879046451893
"osgb5000005152006347",6.30041910429182
"osgb4000000030236212",0.102555388260438
"osgb4000000030340679",0.321851700173375
"osgb4000000030236191",0.239454897387335
"osgb4000000030417215",0.220234649150258
"osgb4000000030417215",0.240225488893717
"osgb4000000031116648",0.803055071325532
"osgb4000000031116648",6.25907370030554
"osgb4000000030235862",0.215427317766748
"osgb4000000030340628",0.392352556271539
"osgb4000000030146149",0.409643010192266
"osgb4000000030146149",0.465562125847168
"osgb4000000030417191",0.169265418875594
"osgb4000000030458453",0.152545873406295
"osgb4000000030417190",0.257965561959087
"osgb4000000030099631",0.223155375583973
"osgb5000005151685050",0.19108695396485
"osgb5000005151685050",0.138402072295025
"osgb5000005259895942",0.143144437878643
"osgb5000005259895891",0.194580953377651
"osgb4000000031088485",0.113178396784481
"osgb4000000031088485",0.117966855372143
"osgb5000005259895949",0.228577684614079
