accident_index,accident_y,speed_limit,vehicle_type,date,day_of_week,accident_severity,road_type,longitude,latitude,number_of_vehicles,time,geometry
2019010156291,2019,30,1,08/01/2019,3,3,6,-0.245347,51.556456,2,08:23:00.000,POINT (521740.6613286983 185633.2788409248)
2019010156294,2019,30,1,08/01/2019,3,3,6,-0.228494,51.501978,2,09:10:00.000,POINT (523055.6130087805 179603.2033903258)
2019010156322,2019,30,1,08/01/2019,3,2,1,-0.229233,51.468392,2,13:21:00.000,POINT (523094.6558064924 175867.0499746098)
2019010156334,2019,20,1,08/01/2019,3,3,6,-0.126041,51.572714,2,14:35:00.000,POINT (529964.758608555 187646.3931002019)
2019010156390,2019,20,1,08/01/2019,3,3,2,-0.169206,51.594572,2,08:55:00.000,POINT (526912.7272359314 190001.3455898817)
2019010156397,2019,30,1,08/01/2019,3,3,6,0.111559,51.570637,3,14:30:00.000,POINT (546435.8618602989 187864.14978388)
2019010156398,2019,20,1,08/01/2019,3,2,6,-0.176574,51.530624,2,13:40:00.000,POINT (526579.7015475312 182877.2496712357)
2019010156405,2019,30,1,07/01/2019,2,3,1,0.017517,51.377481,2,16:14:00.000,POINT (540510.870426124 166201.0572670658)
2019010156421,2019,30,1,08/01/2019,3,3,6,-0.102467,51.477893,2,20:20:00.000,POINT (531871.7888749447 177144.1077434593)
2019010156448,2019,30,1,09/01/2019,4,3,6,0.127103,51.535725,2,08:57:00.000,POINT (547625.9250229904 184013.1472793333)
2019010156457,2019,20,1,09/01/2019,4,3,3,-0.095847,51.540672,2,07:15:00.000,POINT (532149.8423766522 184137.2546882904)
2019010156499,2019,20,1,09/01/2019,4,3,3,-0.075045,51.474182,2,10:02:00.000,POINT (533786.8143708145 176781.1427508122)
2019010156502,2019,50,1,07/01/2019,2,3,3,-0.134857,51.49763,2,20:05:00.000,POINT (529566.7100177547 179281.1329736793)
2019010156508,2019,20,1,09/01/2019,4,2,6,-0.041141,51.474681,2,06:45:00.000,POINT (536139.7960513798 176899.0763983657)
2019010156510,2019,20,1,09/01/2019,4,3,6,-0.150542,51.540046,2,08:37:00.000,POINT (528358.8001631644 183970.3352840289)
2019010156525,2019,30,1,09/01/2019,4,3,6,-0.163492,51.528603,1,14:00:00.000,POINT (527492.7138672468 182675.2000551288)
2019010156530,2019,30,1,08/01/2019,3,3,6,-0.112215,51.501648,1,17:50:00.000,POINT (531126.7684196688 179768.2348958348)
2019010156542,2019,30,1,02/01/2019,4,2,2,-0.114628,51.560454,1,18:00:00.000,POINT (530790.7816426742 186303.3591958212)
2019010156570,2019,30,1,09/01/2019,4,3,6,-0.069383,51.516175,1,19:31:00.000,POINT (534056.8498008563 181461.2160803606)
2019010156597,2019,30,1,09/01/2019,4,3,1,0.11865,51.503971,2,14:30:00.000,POINT (547141.956976008 180465.0941168919)
2019010156605,2019,30,1,09/01/2019,4,3,6,-0.018924,51.465665,2,17:45:00.000,POINT (537709.7604676378 175937.996963891)
2019010156613,2019,20,1,09/01/2019,4,3,7,-0.331581,51.518281,2,20:00:00.000,POINT (515859.5571014956 181248.0832579694)
