accident_index,accident_y,speed_limit,vehicle_type,date,day_of_week,accident_severity,road_type,longitude,latitude,number_of_vehicles,time,geometry
2020010228120,2020,30,1,01/01/2020,4,2,6,-0.097893,51.360301,2,19:43:00.000,POINT (532528.8384909306 164075.9437305034)
2020010228170,2020,30,1,02/01/2020,5,3,3,-0.076192,51.542374,2,08:55:00.000,POINT (533507.8261167022 184362.1830384319)
2020010228181,2020,20,1,02/01/2020,5,2,6,-0.095292,51.487318,3,08:46:00.000,POINT (532342.7525310743 178205.1283247002)
2020010228239,2020,30,1,02/01/2020,5,3,6,0.130422,51.555557,2,15:37:00.000,POINT (547791.8608347359 186225.1661598993)
2020010228255,2020,30,1,02/01/2020,5,2,6,-0.098573,51.364009,2,15:46:00.000,POINT (532470.8071835677 164487.0476750393)
2020010228257,2020,20,1,02/01/2020,5,3,6,-0.074106,51.52449,2,17:28:00.000,POINT (533704.8251890973 182377.2332033035)
2020010228263,2020,30,1,02/01/2020,5,3,6,-0.224565,51.510012,2,14:45:00.000,POINT (523306.6310852382 180503.2291452103)
2020010228264,2020,20,1,02/01/2020,5,3,6,-0.072918,51.56732,2,15:45:00.000,POINT (533661.757902998 187142.2393858493)
2020010228273,2020,30,1,02/01/2020,5,2,1,0.036716,51.452914,2,17:29:00.000,POINT (541613.8052214519 174626.105514757)
2020010228323,2020,30,1,03/01/2020,6,3,6,-0.155603,51.434047,2,07:50:00.000,POINT (528304.8043235228 172174.0188802945)
2020010228334,2020,60,1,03/01/2020,6,1,3,-0.42001,51.548632,2,06:15:00.000,POINT (509651.4057192248 184487.1888841457)
2020010228353,2020,30,1,03/01/2020,6,3,3,0.055715,51.531009,2,12:41:00.000,POINT (542689.8981108188 183347.1815049871)
2020010228362,2020,30,1,03/01/2020,6,3,3,-0.122316,51.50654,2,06:30:00.000,POINT (530411.7637696614 180294.2086481621)
2020010228374,2020,30,1,03/01/2020,6,3,3,-0.010469,51.463094,2,08:30:00.000,POINT (538304.7922163873 175668.0209138429)
